PlateSanofi_Well,Plate,Well,tags,Eccent,R/N,Nuclei,Surface_nucleus,G/N,Plate_Sanofi,CPD_ID,Concentration
Plaque cell 7_O13,4180_Plaque cell 7_20122017_1207,O13,,0.75267,0.157163,2061,101.265,0.302932,Plaque cell 7,EC_11187486,2.12E-09
Plaque cell 7_O14,4180_Plaque cell 7_20122017_1207,O14,,0.757818,0.104404,1846,103.218,0.299047,Plaque cell 7,EC_11187486,6.35E-10
Plaque cell 8_O05,4181_Plaque cell 8_20122017_1232,O05,,0.760323,0.106844,1684,101.824,0.232501,Plaque cell 8,EC_11187486,3.23E-05
Plaque cell 8_O06,4181_Plaque cell 8_20122017_1232,O06,,0.780678,0.0806447,1611,100.077,0.308701,Plaque cell 8,EC_11187486,9.68E-06
Plaque cell 8_O07,4181_Plaque cell 8_20122017_1232,O07,,0.78139,0.140007,1699,96.9459,0.275847,Plaque cell 8,EC_11187486,2.90E-06
Plaque cell 8_O08,4181_Plaque cell 8_20122017_1232,O08,,0.781792,0.0911526,1750,98.1364,0.290483,Plaque cell 8,EC_11187486,8.71E-07
Plaque cell 8_O09,4181_Plaque cell 8_20122017_1232,O09,,0.771881,0.0980558,1598,102.318,0.27768,Plaque cell 8,EC_11187486,2.61E-07
Plaque cell 8_O10,4181_Plaque cell 8_20122017_1232,O10,,0.775189,0.153797,1719,99.3307,0.256245,Plaque cell 8,EC_11187486,7.84E-08
Plaque cell 8_O11,4181_Plaque cell 8_20122017_1232,O11,,0.770594,0.127138,1736,98.4083,0.259564,Plaque cell 8,EC_11187486,2.35E-08
Plaque cell 8_O12,4181_Plaque cell 8_20122017_1232,O12,,0.772714,0.113056,1705,103.268,0.264489,Plaque cell 8,EC_11187486,7.06E-09
Plaque cell 8_O13,4181_Plaque cell 8_20122017_1232,O13,,0.773271,0.114909,1734,100.794,0.292651,Plaque cell 8,EC_11187486,2.12E-09
Plaque cell 8_O14,4181_Plaque cell 8_20122017_1232,O14,,0.780597,0.116873,1734,101.539,0.226845,Plaque cell 8,EC_11187486,6.35E-10
Plaque cell 9_O05,4182_Plaque cell 9_20122017_1257,O05,,0.76556,0.114463,1859,102.345,0.260147,Plaque cell 9,EC_11187486,3.23E-05
Plaque cell 9_O06,4182_Plaque cell 9_20122017_1257,O06,,0.760842,0.12845,1977,105.332,0.333558,Plaque cell 9,EC_11187486,9.68E-06
Plaque cell 9_O07,4182_Plaque cell 9_20122017_1257,O07,,0.759315,0.217193,1937,104.701,0.254417,Plaque cell 9,EC_11187486,2.90E-06
Plaque cell 9_O08,4182_Plaque cell 9_20122017_1257,O08,,0.74081,0.169456,2069,107.044,0.254386,Plaque cell 9,EC_11187486,8.71E-07
Plaque cell 9_O09,4182_Plaque cell 9_20122017_1257,O09,,0.756393,0.101687,1716,104.012,0.259122,Plaque cell 9,EC_11187486,2.61E-07
