Plate,Well,Concentration,CPD_ID,Class,Nuclei,Eccent,R/N,G/N,CD24,LDA_1,Deselected_Nuclei,Deselected_R/N,Deselected_G/N,Deselected_LDA_1
EMT 1-3,B15,3.23E-05,EC_11509486,2,0.343851659,0.150289919,0.687704548,0.75153183,-0.091908059,0.338788006,False,False,Not Fitted,False
EMT 1-3,B16,9.68E-06,EC_11509486,2,0.297657775,0.36624344,0.891814689,0.841268646,-0.046978326,0.324181975,False,False,Not Fitted,False
EMT 1-3,B17,2.90E-06,EC_11509486,2,0.161027977,0.945760911,0.445367713,1.109883922,0.024706027,0.038431332,False,False,Not Fitted,False
EMT 1-3,B18,8.71E-07,EC_11509486,2,0.066688354,0.710270511,0.115716386,0.830994798,0.086775106,-0.072738425,False,False,Not Fitted,False
EMT 1-3,B19,2.61E-07,EC_11509486,2,0.060507482,0.968388835,0.148526424,0.783417004,0.053207686,-0.061741166,False,False,Not Fitted,False
EMT 1-3,B20,7.84E-08,EC_11509486,2,0.118412492,0.861589347,0.260703078,0.855861636,0.097839145,0.005085919,False,False,Not Fitted,False
EMT 1-3,B21,2.35E-08,EC_11509486,2,0.052374756,0.979798767,0.031971603,0.842347396,0.049320277,-0.10789975,False,False,Not Fitted,False
EMT 1-3,B22,7.06E-09,EC_11509486,2,-0.001301236,0.752301096,0.194438301,1.346089444,0.028455771,-0.220417618,False,False,Not Fitted,False
EMT 1-3,B23,2.12E-09,EC_11509486,2,0.042940794,1.022414658,0.145929001,1.161656661,0.051042734,-0.153256335,False,False,Not Fitted,False
EMT 1-3,B24,6.35E-10,EC_11509486,2,-0.219583604,1.14780908,-0.054555073,0.598072327,-0.056169132,-0.33914433,False,False,Not Fitted,False
EMT 1-1,D15,3.23E-05,EC_11509578,2,-0.501829066,0.63818803,-0.782796058,-0.004347405,-0.111289561,-0.657792482,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-1,D16,9.68E-06,EC_11509578,2,0.36747589,1.070488494,1.38408601,0.108090003,0.325545824,0.647909799,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-1,D17,2.90E-06,EC_11509578,2,0.153308946,0.849906105,1.603739449,0.881008911,1.08060837,0.342809833,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-1,D18,8.71E-07,EC_11509578,2,0.020951114,0.724446711,1.326066804,1.130882223,0.962449042,0.103686692,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-1,D19,2.61E-07,EC_11509578,2,-0.071499834,0.584343497,0.802504128,1.492603599,0.41290093,-0.175978666,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-1,D20,7.84E-08,EC_11509578,2,-0.058530096,0.431785541,0.501009778,1.012842804,0.274594498,-0.138989963,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-1,D21,2.35E-08,EC_11509578,2,-0.031925507,0.40521252,0.264725798,0.964882958,0.113896481,-0.158659636,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-1,D22,7.06E-09,EC_11509578,2,-0.010641836,0.850262295,-0.165673984,1.170435924,0.074998836,-0.277833381,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-1,D23,2.12E-09,EC_11509578,2,-0.138676422,0.594989737,-0.006327684,0.775923578,-0.040254308,-0.28579529,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-1,D24,6.35E-10,EC_11509578,2,-0.200199534,0.989202236,0.005888647,0.63064371,-0.104469671,-0.313131537,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-2,D15,3.23E-05,EC_11509578,2,-0.47557328,0.11051557,-0.833611316,-0.003341086,-0.04127476,-0.644670672,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-2,D16,9.68E-06,EC_11509578,2,0.449318711,1.057137475,1.105879693,0.183702808,0.732108523,0.646999473,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-2,D17,2.90E-06,EC_11509578,2,0.043203722,0.738308548,1.42614631,0.718288665,1.419406271,0.228861906,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-2,D18,8.71E-07,EC_11509578,2,0.145230974,0.836606683,1.144866727,0.987483866,1.088768843,0.2085204,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-2,D19,2.61E-07,EC_11509578,2,0.0036557,0.917385716,0.671038171,1.256370423,0.466579113,-0.08830504,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-2,D20,7.84E-08,EC_11509578,2,-0.015619807,0.854949516,0.142506306,1.217512182,0.249285475,-0.220814565,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-2,D21,2.35E-08,EC_11509578,2,0.045530076,0.812485412,-0.045322752,1.054558246,0.111723411,-0.173844751,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-2,D22,7.06E-09,EC_11509578,2,0.015619807,0.731237561,0.417452668,0.848024473,-0.033862594,-0.055242669,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-2,D23,2.12E-09,EC_11509578,2,0.034230641,0.534307995,0.196551527,0.902321848,-0.037769453,-0.099040551,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-2,D24,6.35E-10,EC_11509578,2,-0.149551346,1.114165859,-0.079076252,0.883101215,-0.091811186,-0.333937311,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-3,D15,3.23E-05,EC_11509578,2,-0.514313598,0.635669904,-0.663524261,-0.006818251,-0.102863932,-0.6417309,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-3,D16,9.68E-06,EC_11509578,2,0.447950553,0.896588146,1.157395165,0.137281959,0.358182489,0.666666194,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-3,D17,2.90E-06,EC_11509578,2,0.202016916,0.955175302,1.377538472,0.860221727,0.836187979,0.341201975,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-3,D18,8.71E-07,EC_11509578,2,0.107677293,1.065111443,0.769707774,1.210729401,0.54413406,0.042522716,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-3,D19,2.61E-07,EC_11509578,2,0.153871178,1.017022593,0.492860921,1.101772047,0.246857049,0.044141626,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-3,D20,7.84E-08,EC_11509578,2,0.100845804,1.093826505,0.25772987,1.160395499,0.165285369,-0.072062014,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-3,D21,2.35E-08,EC_11509578,2,0.033832141,1.06850715,0.140325926,0.924938557,0.06659401,-0.116808187,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-3,D22,7.06E-09,EC_11509578,2,-0.070266753,1.257609879,-0.058526167,1.030432355,0.039539476,-0.282525786,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-3,D23,2.12E-09,EC_11509578,2,-0.00325309,1.026248459,0.069521983,1.078738493,-0.001137379,-0.198626993,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-3,D24,6.35E-10,EC_11509578,2,-0.215354587,0.976468738,-0.029878673,0.850801406,-0.040549023,-0.378989318,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 1-1,F15,3.23E-05,EC_11511738,2,0.596940472,0.377109638,0.657034851,0.256212506,1.84636461,0.670084304,False,False,False,False
EMT 1-1,F16,9.68E-06,EC_11511738,2,0.433987363,0.141027211,0.451576157,0.383512464,1.235241306,0.442472272,False,False,False,False
EMT 1-1,F17,2.90E-06,EC_11511738,2,0.285666778,0.413824214,0.444838141,0.958277781,0.936732305,0.186837629,False,False,False,False
EMT 1-1,F18,8.71E-07,EC_11511738,2,0.056534752,0.580596798,0.187658263,1.09703245,0.474569226,-0.118013372,False,False,False,False
EMT 1-1,F19,2.61E-07,EC_11511738,2,-0.015297639,0.861616116,-0.064866194,1.340841879,0.314542891,-0.29246484,False,False,False,False
