Plate,Well,G/N,R/N,Nuclei,Eccent,CPD_ID,Concentration
EMT-Serie2-4-C3,B10,0.930321057,0.063543129,0.08,0.654174485,EC_11191242,7.84E-08
EMT-Serie2-4-C3,B11,1.010176243,-0.066687737,0.065,0.771572799,EC_11191242,2.35E-08
EMT-Serie2-4-C3,B12,1.14327809,-0.052856679,-0.022083333,0.861352644,EC_11191242,7.06E-09
EMT-Serie2-4-C3,B13,1.121467097,0.029725177,0.07,0.662684674,EC_11191242,2.12E-09
EMT-Serie2-4-C3,B14,1.18359067,0.005990559,-0.149583333,0.9786981,EC_11191242,6.35E-10
EMT-Serie2-4-C1,J05,-0.011963483,-0.205164827,-0.093071786,-2.409020514,EC_11191283,3.23E-05
EMT-Serie2-4-C1,J06,0.304794869,0.111612205,0.356844741,-1.232332564,EC_11191283,9.68E-06
EMT-Serie2-4-C1,J07,0.530979586,0.489225997,0.491235392,-0.283331069,EC_11191283,2.90E-06
EMT-Serie2-4-C1,J08,0.718711013,0.11490875,0.075542571,0.373454694,EC_11191283,8.71E-07
EMT-Serie2-4-C1,J09,0.808820103,0.228918704,0.156928214,0.397119957,EC_11191283,2.61E-07
EMT-Serie2-4-C1,J10,0.970210635,0.001980812,-0.043823038,0.689797582,EC_11191283,7.84E-08
EMT-Serie2-4-C1,J11,1.042186757,0.020885811,0.074707846,0.801874745,EC_11191283,2.35E-08
EMT-Serie2-4-C1,J12,1.062072459,0.144843108,0.042570952,0.938894172,EC_11191283,7.06E-09
EMT-Serie2-4-C1,J13,1.172943618,0.093555507,0.106427379,0.887325092,EC_11191283,2.12E-09
EMT-Serie2-4-C1,J14,1.080607985,-0.075341557,-0.106010017,1.381062356,EC_11191283,6.35E-10
EMT-Serie2-4-C2,J05,-0.046226524,-0.239215961,-0.098081953,-3.090285358,EC_11191283,3.23E-05
EMT-Serie2-4-C2,J06,0.197845096,-0.035641533,0.419354839,-1.545111492,EC_11191283,9.68E-06
EMT-Serie2-4-C2,J07,0.501731613,0.41779292,0.397122929,-0.710276002,EC_11191283,2.90E-06
EMT-Serie2-4-C2,J08,0.57821741,0.17725762,0.056669573,0.183533448,EC_11191283,8.71E-07
EMT-Serie2-4-C2,J09,0.711264247,0.119234962,0.091979076,0.212287541,EC_11191283,2.61E-07
EMT-Serie2-4-C2,J10,0.865017072,0.07300595,-0.026591107,0.963636364,EC_11191283,7.84E-08
EMT-Serie2-4-C2,J11,0.973692935,0.012858351,0.015693112,0.754467488,EC_11191283,2.35E-08
EMT-Serie2-4-C2,J12,1.001484337,-0.011102706,-0.100697472,1.23558397,EC_11191283,7.06E-09
EMT-Serie2-4-C2,J13,1.202511756,-0.036191009,0.010462075,1.122968969,EC_11191283,2.12E-09
EMT-Serie2-4-C2,J14,1.002652785,0.143307701,-0.007846556,0.923249649,EC_11191283,6.35E-10
EMT-Serie2-4-C3,J05,-0.043448373,-0.213279556,-0.21625,-1.736527737,EC_11191283,3.23E-05
EMT-Serie2-4-C3,J06,0.341031839,0.030834271,0.260833333,-1.283373418,EC_11191283,9.68E-06
