Plate,Well,Nuclei,R/N,Eccent,CPD_ID,Concentration,G/N
EMT-Serie2-5-C1,P11,0.028967254,0.028556506,0.307089668,DMSO,0.00E+00,0.538226351
EMT-Serie2-5-C1,D12,-0.060873216,-0.029201528,1.025648981,DMSO,0.00E+00,1.018471855
EMT-Serie2-5-C1,E12,-0.047858942,-0.010634305,1.285370773,DMSO,0.00E+00,1.185913214
EMT-Serie2-5-C1,F12,0.144836272,0.10581362,0.776734926,DMSO,0.00E+00,0.941630237
EMT-Serie2-5-C1,G12,0.052896725,-0.012602194,1.24281208,DMSO,0.00E+00,1.122735575
EMT-Serie2-5-C1,H12,-0.055835432,0.04476055,1.000827386,DMSO,0.00E+00,1.195665315
EMT-Serie2-5-C1,I12,0.089420655,0.028134102,0.820715689,DMSO,0.00E+00,0.981680725
EMT-Serie2-5-C1,J12,-0.003358522,0.061218607,0.948365912,DMSO,0.00E+00,0.957108937
EMT-Serie2-5-C1,K12,0.031486146,0.114691238,1.205321129,DMSO,0.00E+00,1.132169531
EMT-Serie2-5-C1,L12,0.028967254,0.001275774,0.906195056,DMSO,0.00E+00,0.82222544
EMT-Serie2-5-C1,M12,-0.033585223,0.049479772,1.151670286,DMSO,0.00E+00,1.205784255
EMT-Serie2-5-C1,N12,-0.058774139,-0.039187957,0.754576482,DMSO,0.00E+00,0.924369279
EMT-Serie2-5-C1,O12,0.057094878,0.082722679,0.889828317,DMSO,0.00E+00,0.772744242
EMT-Serie2-5-C1,P12,-0.058354324,0.040843324,0.536353294,DMSO,0.00E+00,0.615580896
EMT-Serie2-5-C1,D13,0.004198153,0.017838005,1.096700796,DMSO,0.00E+00,1.185283418
EMT-Serie2-5-C1,E13,-0.00797649,0.018169079,1.051582377,DMSO,0.00E+00,1.003392458
EMT-Serie2-5-C1,F13,0.009235936,0.019554735,0.906246768,DMSO,0.00E+00,1.04812746
EMT-Serie2-5-C1,G13,0.013014274,0.115270617,0.861619609,DMSO,0.00E+00,0.901599228
EMT-Serie2-5-C1,H13,0.169605374,0.27887652,0.962017789,DMSO,0.00E+00,0.874300488
EMT-Serie2-5-C1,I13,0.018052057,0.042167617,0.707156893,DMSO,0.00E+00,0.89948584
EMT-Serie2-5-C1,J13,0.105793451,0.056176873,0.72422174,DMSO,0.00E+00,0.834042233
EMT-Serie2-5-C1,K13,-0.020151134,-0.009937909,1.134838143,DMSO,0.00E+00,0.895252571
EMT-Serie2-5-C1,L13,0.021830395,0.088480787,1.056391561,DMSO,0.00E+00,0.812638904
EMT-Serie2-5-C1,M13,-0.015952981,0.021536894,0.96250905,DMSO,0.00E+00,0.985576371
EMT-Serie2-5-C1,N13,-0.043240974,-0.031978549,1.102285655,DMSO,0.00E+00,1.039371996
