COMPOUND_MASK,BATCH_MASK,plaque Cpds,plaque cellules,Well,Plate_Sanofi
EC_11191782,EB_11191785,2200116202a,EMT-Serie2-1,N07,EMT-Serie2-1-C2
EC_11191782,EB_11191785,2200116202a,EMT-Serie2-1,N08,EMT-Serie2-1-C2
EC_11191782,EB_11191785,2200116202a,EMT-Serie2-1,N09,EMT-Serie2-1-C2
EC_11191782,EB_11191785,2200116202a,EMT-Serie2-1,N10,EMT-Serie2-1-C2
EC_11191782,EB_11191785,2200116202a,EMT-Serie2-1,N11,EMT-Serie2-1-C2
EC_11191782,EB_11191785,2200116202a,EMT-Serie2-1,N12,EMT-Serie2-1-C2
EC_11191782,EB_11191785,2200116202a,EMT-Serie2-1,N13,EMT-Serie2-1-C2
EC_11191782,EB_11191785,2200116202a,EMT-Serie2-1,N14,EMT-Serie2-1-C2
EC_11176305,EB_11176307,2200116202a,EMT-Serie2-1,N15,EMT-Serie2-1-C2
EC_11176305,EB_11176307,2200116202a,EMT-Serie2-1,N16,EMT-Serie2-1-C2
EC_11176305,EB_11176307,2200116202a,EMT-Serie2-1,N17,EMT-Serie2-1-C2
EC_11176305,EB_11176307,2200116202a,EMT-Serie2-1,N18,EMT-Serie2-1-C2
EC_11176305,EB_11176307,2200116202a,EMT-Serie2-1,N19,EMT-Serie2-1-C2
EC_11176305,EB_11176307,2200116202a,EMT-Serie2-1,N20,EMT-Serie2-1-C2
EC_11176305,EB_11176307,2200116202a,EMT-Serie2-1,N21,EMT-Serie2-1-C2
EC_11176305,EB_11176307,2200116202a,EMT-Serie2-1,N22,EMT-Serie2-1-C2
EC_11176305,EB_11176307,2200116202a,EMT-Serie2-1,N23,EMT-Serie2-1-C2
EC_11176305,EB_11176307,2200116202a,EMT-Serie2-1,N24,EMT-Serie2-1-C2
EC_11258170,EB_11258173,2200116202a,EMT-Serie2-1,O05,EMT-Serie2-1-C2
EC_11258170,EB_11258173,2200116202a,EMT-Serie2-1,O06,EMT-Serie2-1-C2
EC_11258170,EB_11258173,2200116202a,EMT-Serie2-1,O07,EMT-Serie2-1-C2
EC_11258170,EB_11258173,2200116202a,EMT-Serie2-1,O08,EMT-Serie2-1-C2
